hash,author_name,change_type_fm,kconfig_tags,any_comments,has_new_template,TAGS
a3336160203dd8f8d2ae567238fcb0978bf21e8d,Leandro Dorileo,new,select ,,,new;select 
da5f77ff470f49e90797db27a8923c988c099e96,Bruno Dilly,change;move,default;feature,,,change;move;default;feature
9110b309393ec27dee35baf23d1cbefe1a796d8f,Bruno Dilly,change,depends,,,change;depends
2d39b630bf887702b53471ded8b2271f37ac94a1,Ulisses Furquim,add;change,depends;default,,,add;change;depends;default
0f5c625000541d6cbaa0ce2f030a83d02f816f87,Leandro Dorileo,remove,feature;select,,,remove;feature;select
00b4e6a14a405ea18ec2cc9382d86226fb1cd557,Murilo Belluzzo,change,menu,,,change;menu
f10452a4470ef17398d9ddbe166d7fa9c43a6e56,Murilo Belluzzo,new,depends,,,new;depends
b73f5a6a2425d3c88a99e7d7026a7c4303b56a56,Murilo Belluzzo,move,menu,,,move;menu
229f9730f09043c5e23c8bb2fb2fcd1153a1a4c6,Murilo Belluzzo,rename,rename,,,rename;rename
75d22cbac231fea8ff88fed445a8e221f1c3aa78,Gustavo Sverzut Barbieri,remove,depends,,,remove;depends
769c8e5dc82bcd1a6f638eac51821a9c791363ad,Flavio Ceolin,change,depends,,,change;depends
f0258d0e629c440d7f01c44f91ad2180270a5044,Flavio Ceolin,new,depends,,,new;depends
ff7e27b3dc8c9514d433dc5d7ae76944bf835ab8,Flavio Ceolin,new,depends,,,new;depends
36382cc2ce1907288a68ad1d7340296edc166e88,Murilo Belluzzo,add,depends,,,add;depends
1778ffffd8ae251b57212517dddb78f6f69e6e45,Bruno Dilly,add,depends,,,add;depends
4d2a86f739fa1758b45a517c4bd442305c128f1f,IvĂ¡n Briano,remove,depends,,,remove;depends
c823fdfa5ab5e7255d61f3f85d5a00751c209985,JosĂ© Roberto de Souza,add,select,,,add;select
7e4802a35d49bd1911efe26b69135b17cde290e2,JosĂ© Roberto de Souza,new,depends,,,new;depends
8f949c34a5a0a977919d0546446ed90fb17d3740,JosĂ© Roberto de Souza,new,depends,,,new;depends
f4daeaa678a4090c36fdf0d56f53a73e630ed58c,JosĂ© Roberto de Souza,add,depends,,,add;depends
eb916cca32ff51cd1cb62d26c2a83807d105e9f0,JosĂ© Roberto de Souza,add,depends,,,add;depends
e185b20c1702a332ae11ee3a6090ec908f18bd48,IvĂ¡n Briano,add,select,,,add;select
ab06c0ce3c8b0ac5345d0eec27ea6c61eb06e69c,Caio Marcelo de Oliveira Filho,new,depends,,,new;depends
f3f390c41d89ac921f23bd93e12268711196fe83,Gustavo Sverzut Barbieri,add,depends,,,add;depends
26a08d60ab5a9ad84dc1a28ec74500a8046ebadd,Gustavo Lima Chaves,rename,rename,,,rename;rename
a183360dd4d2954d78adc1b0e0b4855eb59fc5c3,Flavio Ceolin,change,default,,,change;default
b889b7a970ab2157432403246274ea5b45836910,Bruno Dilly,remove,depends,,,remove;depends
7299e3456e4423d667aa0fd2f089293810a35a52,Gustavo Sverzut Barbieri,move,feature,,,move;feature
23c3a2dd67236054722842289e1704633fdc29f5,IvĂ¡n Briano,add,default,,,add;default
13aa56c3c5a1752b6ea60fdc1a0a1effe7d65175,Leandro Dorileo,new,depends,,,new;depends
4bb39584ca389f03e9191e65fa291c303b224360,Leandro Dorileo,new,depends,,,new;depends
fb5d1ffa0fe4b33f70688911aab8bfa9d5a15896,Otavio Pontes,change,depends,,,change;depends
0709be9f3b6efa607bf72ae153e11adedd697c4a,Bruno Dilly,add,default,,,add;default
1570a568171447c303f255977ad15592d3fd5d8d,Bruno Dilly,change,default;depends,,,change;default;depends
c52c778a0277e4703feb7e55de9ca5a3a23dadd5,Flavio Ceolin,change,depends,,,change;depends
2cf672ae0cc53ee5b04829d6e44ca8c250c8f30d,Ederson de Souza,remove,depends,,,remove;depends
b4abd4fa77596ecde5946889a1fdd07138ced7b4,Flavio Ceolin,change,depends,,,change;depends
7c596a4bccd16c84e66422b6f81e7575bb3f866a,Otavio Pontes,add,depends,,,add;depends
3c888d59414ea7ca03bcecdf130aa553d3d106ad,Bruno Dilly,new,depends,,,new;depends
22b5d3c155b27e57b1c4464ba31f046744127bc8,Ederson de Souza,add,select,,,add;select
d368dd74d3f206e9a321f3681752a3ff960fb8ee,Flavio Ceolin,add,depends,,,add;depends
3afafeba9598790adcdc39fd888446c84d3600c0,Bruno Dilly,add,default,,,add;default
2a69a93807f548ea687cb38a072e6ec58974e7a7,Gustavo Sverzut Barbieri,add,depends,,,add;depends
9029e1a6cb7313966ba1e42cdb65f800930f9ce8,IvĂ¡n Briano,add,select,,,add;select
199fe960603aebe5c82d42e594cfc09049d8edb8,Gustavo Lima Chaves,remove,depends,,,remove;depends
e9be8920202360664d00304e4c92dbbd3f7b52f3,Gustavo Lima Chaves,add;move,select,,,add;move;select
fa7f6e4c8099e18ec7381605e392a6c8cdf24cf2,IvĂ¡n Briano,remove,depends,,,remove;depends
83cdfb5bb874861f4165107f364aa68035e188d9,Guilherme Iscaro de Godoy,remove;change;add;new,depends,,,remove;change;add;new;depends
d74314d1747fd56398b03140030e52fc7806d215,Murilo Belluzzo,move,feature,,,move;feature