hash,author_name,change_type_fm,kconfig_tags,change_type_ck,makefile_tags,any_comments
d556d826bfbb02fb7efbba21585a3888e512db41,Leandro Dorileo,new,select,change,mappingR,
408e85bb1b58c7cd5acfb82953f28da4a9506802,Leandro Dorileo,add,select,change,mappingR,
b2d5828059fd547c3faf1a79b50fa075f397ad50,Tomaz Canabrava,add,feature,add,mappingA,
ac8b1913e425261ed196da0f3c4bc33d574f0d6a,Murilo Belluzzo,rename,rename,add,mappingA,
8696b8a962e9eb8df207812c57bede149d014a98,Leandro Dorileo,remove,feature,remove;change,ifeq;rules,
021ecdf7b004cc7fd47af429f83476559e18b305,Flavio Ceolin,change,depends,change,mappingR,
f44968723aac5194d44bd92fbe4c46241baec1ae,Leandro Dorileo,add,feature;depends,add,ifeq,
b1f4c157b001c218370f68f04e262adb84685608,Leandro Dorileo,add,feature;depends,add,ifeq,
1339082475330ce0e1775d8cd2c2811dea7f1d6a,Leandro Dorileo,add,feature;depends,add,ifeq,
9ea568650466cc0c190741f6ef9a63da285b62bb,Leandro Dorileo,new,feature,add,mappingA;rules;vars,
83c84ff88d68e7205d416969e9c3028ec0146822,Leandro Dorileo,add,feature,add,mappingA,
1c2a5f8844908a54cd082043404c05bfb06452f9,IvĂ¡n Briano,add,depends,add,mappingA,
44d8d9e9f7755d5da5f7fb32900acc1f67e46973,IvĂ¡n Briano,remove,feature,change,mappingL,
d4ab45be218b17259b3c12f709e2a5e559dfcd49,IvĂ¡n Briano,add;change,feature;depends,add,ifeq,
eb0fc42071c663ab5bd849e53a9eb24f52fd1877,Bruno Dilly,add,depends,add,mappingA,
4157352c84a2d2b8e9a13e8981f5c27c47ceac97,Caio Marcelo de Oliveira Filho,add,depends,add,ifdef,
83eff3c9cec50b8c8b56509b2da54368d455f534,Leandro Dorileo,add,depends,change;add,mappingR;ifeq,
46741312dcc4e68337377e4f0ea0e34d9f08c032,JosĂ© Roberto de Souza,add,depends,add,mappingA,
d4d9f0f07f92fdd9612134a31abfe3ca8e2cad02,Leandro Dorileo,move,feature,add;change,vars;ifeq;mappinR;targets,
1069974351b7b760092abea9faba31e9a5a84919,Leandro Dorileo,move,feature,add,ifeq;vars,
2c3dfed1f182979849156ab1ddae4f262af0ece8,Gustavo Lima Chaves,add,depends,rename,rename,
193258be02503669afa78a71da7009d86e25dffb,Bruno Dilly,add,depends,add,mappingA,
5f1d855cb7337d98bd0c6734e7b3b777c19f3a86,Bruno Dilly,add,feature,add,mappingA,
bfce4f90c987acbbe67fe08d94377465f9ddcc13,Otavio Pontes,add,depends,change,mappingL,
2a63abe05f806d025f72647f0aecee8f4dd3412b,IvĂ¡n Briano,add,feature,remove;add,vars,
d3f91a2be07237d72c3fdd3c38ad3f3cd40399e8,Guilherme Iscaro de Godoy,remove,feature,remove,mappingA,